Model|Stamp|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
model1_LPV4D_x1|2020.04.14. Tuesday 07:18:53 id:2266|0|2.03523957595921|12.737531|22.674056|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x1.78|2020.04.14. Tuesday 07:19:17 id:2266|0|2.03523957668091|12.746202|20.218573|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x3.16|2020.04.14. Tuesday 07:19:50 id:2266|0|2.05545642480682|24.254413|31.828509|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x5.6|2020.04.14. Tuesday 07:20:24 id:2266|0|2.14528742985676|24.558914|32.138545|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x10|2020.04.14. Tuesday 07:20:59 id:2266|0|2.26678243850142|24.996222|33.027235|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x17.8|2020.04.14. Tuesday 07:21:37 id:2266|0|2.3896684602428|29.448391|36.741553|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x31.6|2020.04.14. Tuesday 07:22:14 id:2266|0|2.49177817818668|27.513694|34.967365|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x56.2|2020.04.14. Tuesday 07:22:48 id:2266|0|2.56546022948363|24.787888|32.426289|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x177.8|2020.04.14. Tuesday 07:23:16 id:2266|0|2.64263560252844|18.935681|26.367174|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x316.2|2020.04.14. Tuesday 07:23:43 id:2266|0|2.65992389825714|18.156304|25.592772|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
